AÑO,TRIMESTRE,PROVEEDOR,No. ACCESOS FIJOS A INTERNET,PARTICIPACIÓN
2021,3,INFRACOM INFRAESTRUCTURA EN TELECOMUNICACIONES S.A.S,453,"0,01"
2020,3,FIBERNET ISP ZOMAC SAS,120,0
2022,1,RADIO FRECUENCIA COMUNICACIONES S A S,779,"0,01"
2021,3,RADIOCOMUNICACIONES HALCONES DE LA SABANA SOCIEDAD POR ACCIONES SIMPLIFICADA,3,0
2023,2,PLEXTEL COMUNICACIONES SAS,476,"0,01"
2021,1,INSITEL S.A.S.,8603,"0,11"
2022,1,INTERNET FLASHNET S.A.S.,78,0
2021,1,INTERPROJECT COMUNICACIONES S.A.S.,66,0
2022,3,SERKOI SERVICIOS DE CONECTIVIDAD INALAMBRICA SAS,1033,"0,01"
2022,2,RIONEGRO TELECOMUNICACIONES S.A.S.,213,0
2021,4,WIFI ALTERNATIVO VALLE S.A.S,218,0
2022,2,BOR - CONEXIONES S A S,2789,"0,03"
2022,3,JK. TELECOMUNICACIONES S.A.S ZOMAC,11,0
2022,3,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,8,0
2022,3,ASOCIACION  DE COPROPIETARIOS  DE LA ANTENA PARABOLICA  DE SAN GIL- ASOPARSA TELESANGIL,741,"0,01"
2020,3,SISTELINTER S.A.S,207,0
2021,2,ANTNET COMUNICACIONES S.A.S.,466,"0,01"
2023,2,TELECCO S.A.S.,1917,"0,02"
2021,2,COMUNICACIONES S & H FIBER LINK S.A.S.,41,0
2021,2,DAC INGENIERIAS Y CONSULTORIAS S.A.S,5,0
2022,1,ASISTENCIA COMUNICACIONES S.A.S,2121,"0,02"
2021,3,FX ONLINE S.A.S,47,0
2023,2,INVERSIONES BEDOYA RAMIREZ S.A.S.,79,0
2022,3,CABLE YUMA SAS,776,"0,01"
2021,2,CABLE NET CUCUTA SAS,186,0
2021,3,CABLETAME S A S,4656,"0,06"
2021,1,HS NETWORKS SAS,5535,"0,07"
2021,2,TORNET COMUNICACIONES S.A.S,700,"0,01"
2020,4,INTESOGAMOSO COMUNICACIONES S.A.S,150,0
2022,3,AMO COMUNICACIONES S.A.S.,89,0
2021,3,O4IT COLOMBIA LTDA,34,0
2021,4,TELEMATICS NETWORK SAS,891,"0,01"
2022,3,VALLE TELECOMUNICACIONES SAS,1496,"0,02"
2022,3,CABLE NET UNIVERSAT S.A.S,3,0
2021,3,COMUNICACIONES Y SERVICIOS BRIYOVI S.A.S.,2849,"0,03"
2022,2,COLOMBIACOM SAS,131,0
2023,2,"WHOME ""WH SAS""",205,0
2023,2,SERVICIOS SMAI GROUP S.A.S.,763,"0,01"
2020,3,WIFAO COLOMBIA S.A.S.,65,0
2023,2,RED DIGITAL TELECOMUNICACIONES S.A.S.,391,0
2022,3,"SOCIEDAD DE TELEVISION, MERCADEOS Y TELECOMUNICACIONES S.A.S",5185,"0,06"
2020,4,GPON TECHNOLOGY S.A.S,33,0
2022,1,FIBRANETPLUS S.A.S.,820,"0,01"
2020,3,"EMPRESA COLOMBIANA DE PROCESOS TECNOLOGICOS, TECNOLOGIA Y COMUNICACIONES S.A.",2,0
2022,2,LAN REDES S.A.S,380,0
2021,3,TEXEL GROUP S.A.S.,70,0
2020,3,ASOCIACION DE TELEVIDENTES DE GUACHETA,290,0
2022,1,CAQUEZA TV Y TELECOMUNICACIONES SAS,405,0
2022,3,INVERSIONES GERIOS S.A.S.,1336,"0,02"
2020,3,TOTAL BAND COMUNICACIONES S.A.S,321,0
2020,3,SERVICONECTION SAS,775,"0,01"
2020,3,EASY NETWORK REDES Y TELECOMUNICACIONES SAS,14,0
2021,4,EL MUNDO EN SUS MANOS INTERNET SAS,85,0
2020,4,CABLE SAS,1549,"0,02"
2022,2,MAX TV SAS,2228,"0,03"
2020,3,ALK NET LTDA,1000,"0,01"
2023,2,LKS SOLUCIONES INFORMATICAS S.A.S,1427,"0,02"
2023,2,CAFETEL TV SAS,915,"0,01"
2021,2,RADIOSAT ISP SAS,2,0
2022,1,DIL@NTEL S.A.S.,174,0
2022,4,TV CABLE EL CENTRO SAS,1333,"0,01"
2023,2,REALTIC SOLUTION S.A.S.,19,0
2023,2,HOSTDIME.COM.CO S.A.S.,2,0
2023,2,VISION SATELITAL COMUNICACIONES S.A.S.,3185,"0,04"
2021,1,LOGYCABLE S.A.S.,488,"0,01"
2023,2,RADIOCOMUNICACIONES HALCONES DE LA SABANA SOCIEDAD POR ACCIONES SIMPLIFICADA,15,0
2022,2,RADIONET SOLUCIONES S.A.,896,"0,01"
2022,3,COMUNICACIONES REDES Y ENLACES SAS,2033,"0,02"
2021,1,CONECTIC SOLUCIONES INTEGRALES TIC S.A.S,45,0
2022,2,CABLE EXITO SAS,11172,"0,13"
2021,4,TELARA�A.NET S.A.S.,300,0
2022,4,H V TELEVISION S.A.S.,101949,"1,14"
2022,3,WISP INTEGRADORES S.A.S,704,"0,01"
2022,3,DSC TELECOMUNICACIONES S.A.S,129,0
2021,4,FIBERCOM TV S.A.S,1009,"0,01"
2021,3,VIVO TELECOMUNICACIONES S.A.S.,684,"0,01"
2021,3,DANHER REDES Y SERVICIOS S.A.S.,933,"0,01"
2022,1,JASZ COMUNICACIONES TECNOLOGICAS E INTERACTIVAS E U,182,0
2023,2,CAFENET COMUNICACIONES S.A. CAFENET S.A.,741,"0,01"
2022,1,QUALITY NET COMUNICACIONES S.A.S.,122,0
2021,3,SERVIRED SYJ S.A.S,250,0
2021,1,ORIENTE M�O TELECOMUNICACIONES S.A.S ZOMAC,469,"0,01"
2021,1,REDES.COM INTERNET BANDA ANCHA S.A.S,228,0
2020,4,ZUMACOMUNICACIONESDECOLOMBIASA,1251,"0,02"
2020,4,COVINET INGENIERIA SAS,322,0
2021,4,ASOCIACION CONCEPCION TELECOMUNICACIONES,156,0
2021,3,REDESMAS.NET S.A.S,767,"0,01"
2022,1,JASTANET SAS,1376,"0,02"
2021,3,WIRED S.A.S.,81,0
2021,4,SISTELEC LTDA,312,0
2021,2,SISTELEC LTDA,312,0
2023,2,MAS RED COMUNICACIONES S.A.S,66,0
2022,1,VPN INGENIER�A EN TELECOMUNICACIONES S.A.S.,1086,"0,01"
2020,3,YTV COMUNICACIONES S.A.S,89,0
2020,3,FJC TELECOMUNICACIONES SAS,1639,"0,02"
2020,3,ACERDI SOLUCIONES INTELIGENTE S.A.S,437,"0,01"
2022,2,AULAS DIGITALES DE COLOMBIA LTDA,269,0
2021,3,HIZ TELECOMUNICACIONES S.A.S,1901,"0,02"
2021,3,VISION SATELITAL COMUNICACIONES S.A.S.,3371,"0,04"
2021,2,SUPERACTIVA S.A.S.,1770,"0,02"
2022,2,FIBERCOM TV S.A.S,982,"0,01"
2021,2,SARDINATA NETWORKS SAS,170,0
2021,2,COLOMBIA MAS TV SAS,22102,"0,27"
2021,4,TV SANV SAS,17730,"0,21"
2020,4,TV MOJANA S.A.S,796,"0,01"
2020,3,LIKES.NET S.A.S,221,0
2022,3,PACIFIC LINK SAS,2,0
2022,3,INTERCOM SOLUCIONES TECNOLOGICAS SAS,2227,"0,03"
2020,3,CONECTANDO ANDO SAS,210,0
2022,3,TELCOBRAS S.A.S.,20,0
2021,2,WIRELESS COMUNICACIONES S.A.S,1,0
2022,1,GARAING S.A.S.,48,0
2021,4,ZULDEMAYDA COMUNICACIONES,218,0
2022,1,WISPER COMUNICACIONES S.A.S.,1083,"0,01"
2021,3,RURAL NET TELECOMUNICACIONES S.A.S,634,"0,01"
2021,3,SERVICIOS INTEGRALES TELECOMUNICACIONES SAS,2130,"0,03"
2020,3,SISTEMAS Y TELECOMUNICACIONES DEL ORIENTE SAS,22855,"0,29"
2022,2,SUSETELCO S.A.S,706,"0,01"
2021,2,TECOLRADIO TECNOLOGIA COLOMBIANA DE RADIO COMUNICACIONES E.U.,142,0
2021,2,COTV@S TELECOMUNICACIONES S.A.S,905,"0,01"
2021,4,FIBERNEXT S.A.S,36,0
2021,2,INTERURAL SAS,73,0
2022,2,BARAK TECNOLOGIA INFORMACION Y COMUNICACIONES SAS,2461,"0,03"
2021,4,CORPORACION ANTENA PARABOLICA GALAXIA EL PE�OL,4125,"0,05"
2020,4,AXESAT S.A.,1898,0
2022,2,AIM CONNECT SAS,77,0
2023,2,TIC SAN LUIS S.A.S,290,0
2021,1,PROYECTOVISION.CLICK ZOMAC S.A.S,289,0
2023,2,SERVICIOS INTEGRALES TC S.A.S,115,0
2023,2,ASOCIACION ANTENA PARABOLICA EL SALADO,801,"0,01"
2023,2,ENERGIA Y SEGURIDAD GLOBAL COMPANY S.A.S,473,"0,01"
2023,2,CONECTATE HOGAR Y EMPRESAS SAS,442,0
2023,2,PROVEEDOR DE TELECOMUNICACIONES SAS,1819,"0,02"
2023,2,WISP TELECOMUNICACIONES SAS,2225,"0,02"
2022,3,TELNET DE OCCIDENTE S.A.S. ZOMAC,482,"0,01"
2020,4,TOP LINK S.A.S,358,0
2020,3,JASZ COMUNICACIONES TECNOLOGICAS E INTERACTIVAS E U,116,0
2020,3,CABLENET PLUS S.A.S. ZOMAC,492,"0,01"
2022,2,JERSAL TELECOMUNICACIONES S.A.S,338,0
2023,2,SOLUCIONES & ASESORIAS EN INGENIERIA LIMITADA,3,0
2020,3,TELECOMUNICACIONES URMED S.A.S,218,0
2022,1,C&C WIFI SAS,394,0
2022,3,INTERLANS S.A.S.,3544,"0,04"
2022,3,AROS COMUNICACIONES LIMITADA,1486,"0,02"
2021,3,SERVICIOS TECNOLOGICOS ICOMREDES S.A.S,193,0
2022,1,MEDIACAST BROADBAND SAS,35,0
2021,3,MEGANET TV S.A.S,1279,"0,02"
2022,1,TV SANV SAS,17768,"0,2"
2021,3,PRODUCTOS INFORMATICOS DE COLOMBIA - PIDECOL S.A.S.,260,0
2021,3,ORION COMUNICACIONES CHOACHI SAS,680,"0,01"
2021,4,CLICK-CONECTIVIDAD SIN FRONTERAS S.A.S,1123,"0,01"
2021,2,RIS TELECOMUNICACIONES RED INALAMBRICA SATELITAL SAS,50,0
2022,2,REDES TV SAT S.A.S,938,"0,01"
2021,4,SION TELECOMUNICACIONES S.A.S,1362,"0,02"
2021,3,RM TELECOMUNICACIONES MOMPOS S.A.S,130,0
2022,3,INTERCONEXIONES & COMUNICACIONES SAS,965,"0,01"
2020,4,RADIO FRECUENCIA COMUNICACIONES S A S,625,"0,01"
2021,4,SERVIREDES CALI SAS,205,0
2021,2,EXODO 20 FIBRA OPTICA S.A.S.,704,"0,01"
2020,4,ECOCONEX S.A.S,32,0
2020,4,TURBO REDES TELECOMUNICACIONES S.A.S.,824,"0,01"
2022,2,IP TECHNOLOGIES SAS,3956,"0,05"
2020,4,COLUMBUS NETWORKS DE COLOMBIA LTDA,2769,"0,03"
2022,2,WIDE GROUP S.A.S,305,0
2022,3,INTERNET Y TELEVISI�N DE COLOMBIA SOCIEDAD POR ACCIONES SIMPLIFICADA,1575,"0,02"
2020,4,CABLE Y TV  YOPAL S.A.S. INTERNET INALAMBRICO,5875,"0,07"
2021,4,INGENIERIA ELECTRONICA COLOMBIANA S A S,12,0
2021,1,CORPORACI�N TELE CARIBE,70,0
2021,3,DOBLECLICK SOFTWARE E INGENIERIA S.A.S.,12967,"0,16"
2021,4,RM TELECOMUNICACIONES MOMPOS S.A.S,134,0
2022,3,ATENEA TELECOMUNICACIONES S.A.S.,4671,"0,05"
2022,3,ORION COMUNICACIONES CHOACHI SAS,575,"0,01"
2020,3,CONEXION WISP S.A.S,101,0
2021,2,PANDORA SOLUCIONES INFORMATICAS Y WIRELESS W.I.S.P S.A.S.,420,"0,01"
2021,1,TELNET DE OCCIDENTE S.A.S. ZOMAC,309,0
2020,4,LAN REDES S.A.S,233,0
2020,4,C & C VISION S.A.S.,2500,"0,03"
2022,2,DESARROLLOS Y REDES S.A.S.,1331,"0,02"
2020,3,INFINITICS S.A.S.,1,0
2023,2,INFOTERRA S.A.S,466,0
2020,3,REDES INTERACTIVAS GROUP SAS,1038,"0,01"
2022,2,GRCOM.NET S.A.S,50,0
2020,4,GTD COLOMBIA S.A.S.,388,0
2022,1,CABLE HOGAR.NET S.A.S.,402,0
2020,4,GIGAREDES COMUNICACIONES SAS,195,0
2021,4,EMPRESA DE TELECOMUNICACIONES DE PALMIRA ETP S.A.S.,516,"0,01"
2020,3,EUTA ZOMAC S.A.S,47,0
2022,1,SISTEMA DE COMUNICACIONES SISTECOM S.A.S.,14,0
2021,1,SISTELME SAS,102,0
2021,4,KIRA ISP S.A.S.,451,"0,01"
2023,2,MIRAVISION S.A.S,2219,"0,02"
2020,4,INVERSIONES RIASCOS CARDENAS SAS,1,0
2022,3,UNIRED TELECOMUNICACIONES S.A.S,96,0
2022,3,NEWLINE NETWORK DE COLOMBIA S.A.S,37,0
2021,2,TECNOSERVICOM S.A.S.,12,0
2020,4,GLOBALNET INGENIERIA SAS,432,"0,01"
2020,3,MEDIAWIRE TELECOMUNICACIONES S.A.S,824,"0,01"
2020,3,SEPCOM COMUNICACIONES SAS,465,"0,01"
2021,1,MCA TELECOMUNICACIONES SAS,454,"0,01"
2021,2,ELEMEING S.A.S,615,"0,01"
2021,4,COMUNICACION CELULAR S A COMCEL S A,3231312,"38,15"
2023,2,SYK SOLUCIONES SAS,755,"0,01"
2023,2,FIBRANETPLUS S.A.S.,1308,"0,01"
2023,2,MUNDORED TELECOMUNICACIONES S.A.S.,176,0
2023,2,TV CABLE EL CENTRO SAS,1159,"0,01"
2020,3,CABLE Y TV  YOPAL S.A.S. INTERNET INALAMBRICO,5937,"0,07"
2020,3,SERVICIOS PUNTO AZUL COMUNICACIONES S.A.S.,80,0
2020,4,IFX NETWORKS COLOMBIA S.A.S.,1319,"0,01"
2021,3,EDATEL S.A.,168676,"2,02"
2020,4,LOGISTICA EN TELECOMUNICACIONES S.A.S.,1150,"0,01"
2022,2,FIBRANET SOLUCIONES SAS,52,0
2021,2,STC COMUNICACIONES S. A. S.,2,0
2021,2,PLUG IN INGENIERIA S.A.S,37,0
2020,4,BT COLOMBIA LTDA.,42,0
2022,2,GLOB@L SYSTEM WI FI,13,0
2021,4,COMUNICACIONES S & H FIBER LINK S.A.S.,112,0
2021,2,CISNEROS TELECOMUNICACIONES S.A.S,165,0
2021,4,SERVICIOS TECNOLOGICOS ICOMREDES S.A.S,388,0
2021,2,CONECTIC SOLUCIONES INTEGRALES TIC S.A.S,24,0
2021,4,IMPORIENTE SOLUCIONES GLOBALES S.A.S,736,"0,01"
2021,4,WALIX S.A.S.,2961,"0,03"
2021,4,P & B COMUNICACIONES S.A.S.,61,0
2020,4,FIBERNET ISP ZOMAC SAS,171,0
2020,4,VOJ NETWORK CORP S.A.S,3226,"0,05"
2022,3,COLUMBUS NETWORKS DE COLOMBIA LTDA,4382,"0,05"
2022,2,INTERMAX TELECOMUNICACIONES S.A.S,443,"0,01"
2021,2,INGENIERIA E INFORMATICA EMPRESA ASOCIATIVA DE TRABAJO,43,0
2023,2,INTERDIGITAL DE COLOMBIA S.A.S,25,0
2021,1,INTERURAL SAS,191,0
2021,1,TELECOMUNICACIONES INGENIER�A Y MERCADEO S.A.S.,1271,"0,01"
2022,2,ESG COMUNICACIONES S.A.S,1621,"0,02"
2021,4,L@TINNETWORK SAS,866,"0,01"
2021,1,ZULDEMAYDA COMUNICACIONES,93,0
2021,3,TELNEX S.A.S,79,0
2020,3,WIFIMAX NETWORK S.A.S,99,0
2022,2,COSMONET COMUNICACIONES COLOMBIA S.A.S.,416,0
2022,3,ASOCIACION DE COPROPIETARIOS DE TELEVISION COMUNITARIA DE LA UNION - VALLE UNITV,501,"0,01"
2022,2,TECNOFUTURO 25 S.A.S,9,0
2021,2,INFINITELCOM SOLUCIONES S.A.S,428,"0,01"
2021,2,RURALINK S.A.S,31470,"0,38"
2021,3,OK COMUNICACIONES SERVICIOS DE INGENIERIA Y REDES SAS,32,0
2021,4,MEDIATEL TELECOMUNICACIONES SAS,494,"0,01"
2022,1,SOLUCIONES INTEGRALES EN TECNOLOGIA Y SEGURIDAD COMPUSEG S.A.S,516,"0,01"
2021,1,TV ISLA LTDA,1523,"0,02"
2021,2,NET&COM LTDA.,307,0
2021,3,SERVIDATA ELECTRONIC SAS,142,0
2023,2,SUROS COMUNICACIONES SAS ZOMAC,20,0
2021,3,ASOCIACION ANTENA PARABOLICA COMUNITARIA DEL MUNICIPIO DE COCORNA ANTEPACO,575,"0,01"
2021,1,SERVIDATA ELECTRONIC SAS,138,0
2020,3,SERVICIOS PROFESIONALES EN NETWORKING LIMITADA,116,0
2022,3,MANAR.NET S.A.S.,84,0
2021,3,TIERRANET S.A.S.,1018,"0,01"
2022,3,OPITASENLINEA S.A.S.,54,0
2021,1,CONEXIONES TECNOLOGICAS Y COMUNICACION SAS,16627,"0,21"
2021,1,CORPORACION DE TELECOMUNICACIONES MARIALABAJA,712,"0,01"
2021,1,NEXO TELECOMUNICACIONES S.A.S.,8,0
2020,3,CABLE NET CUCUTA SAS,544,"0,01"
2021,2,FASTNET INTERNET PARA TODOS S.A.S,277,0
2022,1,SANEST SAS,161,0
2021,1,TELCAD DIGITAL TV COMUNICACIONES SAS,80,0
2021,4,INALREDES SAS,792,"0,01"
2021,3,INTERCOMM DE NARI�O SAS,960,"0,01"
2021,2,SERTELCON S.A.S.,13,0
2023,2,ONLINE TELECOMUNICACIONES.COM S.A.S.,163,0
2021,3,TV AZTECA SUCURSAL COLOMBIA,432,0
2020,4,ALK NET LTDA,1000,"0,01"
2021,1,P & B COMUNICACIONES S.A.S.,46,0
2022,3,TELENETDATOS.COM S.A.S,862,"0,01"
2020,4,NOVANET DIGITAL S.A.S,19,0
2021,2,INTERCOMM DE NARI�O SAS,937,"0,01"
2020,3,LIBRE COMUNICACIONES SAS,322,0
2021,2,ZABUD TECHNOLOGIES S.A.S,220,0
2023,2,O2 ONLINE SAS,2017,"0,01"
2023,2,ENERGIA INTEGRAL ANDINA S.A.,0,0
2023,2,INTERCOM SOLUCIONES TECNOLOGICAS SAS,2491,"0,03"
2023,2,ENSOTEL S.A.S,304,0
2023,2,WINS SOLUCIONES SAS,100,0
2021,3,LINFON S.A.S,108,0
2022,2,ASOCIACION COMUNITARIA PARA EL DESARROLLO DE ANGELOPOLIS,225,0
2021,2,MEG@NET TVCOMUNICACIONES S.A.S,603,"0,01"
2022,1,EXPRES SISTEMAS COMUNICACIONES SAS,23,0
2021,2,CABLE NET UNIVERSAT S.A.S,1690,"0,02"
2021,4,NETBEAM S.A.S.,179,0
2021,3,OPTILINK SAS,853,"0,01"
2021,3,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,7,0
2021,4,ASOCIACION DE ANTENA PARABOLICA  COMUNITARIA SIN ANIMO DE LUCRO SAN ROQUE,442,"0,01"
2021,4,RACOM S.A.S. REDES Y ASESORIAS EN COMUNICACIONES,404,0
2021,4,COGENT COLOMBIA S.A.S,4,0
2020,3,B GROUP INGENIERIA S.A.S,794,"0,01"
2022,2,RED DE INGENIER�A SAS - INRED,169,0
2020,4,SM@RT NETWORK S.A.S.,24,0
2020,4,SOLUCIONES DE INGENIERIA E-VOLT TECK S.A.S,10,0
2023,2,TV MOJANA S.A.S,425,0
2023,2,MICEL COMUNICACIONES S.A.S,67,0
2021,1,EME S.A.,5774,"0,07"
2021,3,BARAK TECNOLOGIA INFORMACION Y COMUNICACIONES SAS,2375,"0,03"
2022,1,FUTURE SOLUTIONS DEVELOPMENT S.A.S.,4328,"0,05"
2021,1,COMUNICACIONES S & H FIBER LINK S.A.S.,24,0
2023,1,INTERCARIBE TV S.A.S.,1630,"0,02"
2021,2,AJ GLOBAL PROYECTOS NET S.A.S.,630,"0,01"
2022,3,BITOL S.A.S,2903,"0,03"
2022,3,GROUP TELECOMUNICACIONES P&C SAS,2894,"0,03"
2022,1,TV ISLA LTDA,2186,"0,03"
2021,2,SINTEL WISP S.A.S,428,"0,01"
2021,4,GROUP TELECOMUNICACIONES P&C SAS,2109,"0,02"
2022,2,RAM-NETWORK S.A.S,490,"0,01"
2020,4,IMB INGENIERIA EN REDES SAS,1000,"0,01"
2021,2,IT. TECHNOLOGY R&M S.A.S.,74,0
2022,1,ENLACES.NET.HUILA SAS,13,0
2021,2,GB NET TV SAS,1959,"0,02"
2022,1,INFRAESTRUCTURA Y SERVICIOS DE COLOMBIA SAS,5634,"0,05"
2021,1,WORLD CONNECTIONS S.A.S.,966,"0,01"
2022,3,ASOCIACION COMUNITARIA DE TELECOMUNICACIONES,1680,"0,02"
2021,4,MEGA FIBRA SAS,798,"0,01"
2021,2,CHATNET COMUNICACIONES SAS,40,0
2022,2,IMPORIENTE SOLUCIONES GLOBALES S.A.S,757,"0,01"
2020,3,IT COMUNICACIONES SAS,760,"0,01"
2022,2,ARM TELECOMUNICACIONES SAS,46,0
2021,4,ANS COMUNICACIONES LTDA,21,0
2022,1,REDES DIGITALES SAN CARLOS SAS,507,"0,01"
2020,3,LECARVIN SAS,7665,"0,1"
2022,2,WILGOM TELECOMUNICACIONES SAS,525,"0,01"
2021,3,TECOLRADIO TECNOLOGIA COLOMBIANA DE RADIO COMUNICACIONES E.U.,145,0
2023,2,TELEMATICS NETWORK SAS,701,"0,01"
2021,1,DIFUDATOS S A S,1265,"0,02"
2021,1,SEPCOM COMUNICACIONES SAS,629,"0,01"
2022,3,TECNOLOGIAS DEL VALLE S.A.S.,176,0
2022,1,CYDETEL TELECOMUNICACIONES SAS,1688,"0,02"
2021,3,MILLENNIALS NETWORK S.A.S.,115,0
2021,3,SOLUCIONES DIGITALES.COM S.A.S,170,0
2021,3,PLUG IN INGENIERIA S.A.S,38,0
2021,2,SYSTEMS AND COMMUNICATIONS S.A.S. - SYSCOM TECNOLOGIA S.A.S.,2351,"0,03"
2020,4,SERVICIOS INTEGRALES TELECOMUNICACIONES SAS,2080,"0,03"
2020,3,ACCESS DIGITAL S.A.S,868,"0,01"
2022,1,HOME TV COMUNICACIONES S.A.S.,2237,"0,03"
2021,1,GPM ELECTROCOM S.A.S.,40,0
2021,3,"INGENIER�A EN MANTENIMIENTO Y MONTAJES DE REDES ELECTRICAS, DE COMUNICACIONES Y AUTOMATIZACI�N SAS",192,0
2022,1,RACOM S.A.S. REDES Y ASESORIAS EN COMUNICACIONES,443,"0,01"
2022,1,CONECTATE COMUNICACIONES DEL PACIFICO S.A.S,23,0
2022,3,CABLEFUTURO TV S.A.S,1171,"0,01"
2021,2,GLOBENET CABOS SUBMARINOS COLOMBIA S.A.S.,30,0
2022,1,INTERVID TELECOMUNICACIONES S.A.S.,285,0
2023,2,CONSULNETWORKS S.A. E.S.P.,681,"0,01"
2023,2,RIE SOLUCIONES SAS,1214,"0,01"
2023,2,TELNET DE OCCIDENTE S.A.S. ZOMAC,570,"0,01"
2023,2,UNE EPM TELECOMUNICACIONES S.A.,1746165,"19,35"
2023,2,SUMERTEL COMUNICACIONES S.A.S.,465,"0,01"
2023,2,INSIDENET SAS,75,0
2021,4,SUPERFIBRAS COLOMBIA SAS,1953,"0,02"
2021,2,SINURED SOLUCIONES S.A.S.,422,"0,01"
2021,1,MERNAHF SAS,78,0
2022,2,ANTNET COMUNICACIONES S.A.S.,467,"0,01"
2022,1,SISTCO SISTEMAS Y COMUNICACIONES SAS,57,0
2022,2,INTER FIBRA SAS E.S.P.,520,"0,01"
2022,2,VELONET S.A.S,11145,"0,13"
2021,3,INTESOGAMOSO COMUNICACIONES S.A.S,1392,"0,02"
2021,4,COMUNICACION Y TECNOLOGIA SAS,2,0
2021,1,REDESMAS.NET S.A.S,667,"0,01"
2020,3,AVIDTEL E.U.,2520,"0,03"
2021,3,RED UNO S.A,3,0
2021,4,INTERLAM TELECOMUNICACIONES SAS,114,0
2021,1,SYSTEL COMUNICACIONES CARTAGO S.A.S.,2604,"0,03"
2022,2,CONEX-REDES S.A.S,9,0
2021,3,HOLA WE DIGITAL S.A.S,446,"0,01"
2020,3,COMPA�IA INTERNACIONAL DE COMUNICACIONES MARG S.A.S,1,0
2022,1,TV MOJANA S.A.S,585,"0,01"
2021,3,CON�CTATE TELECOMUNICACIONES S.A.S,238,0
2021,4,LOGYCABLE S.A.S.,553,"0,01"
2021,3,IP COMUNICACIONES DEL VALLE ZOMAC S.A.S,106,0
2021,3,IP TECHNOLOGIES SAS,3081,"0,04"
2021,3,CONEXION TOTAL DE OCCIDENTE S.A.S,1057,"0,01"
2021,3,CABLE CAUCA S.A,4608,"0,05"
2022,3,MAX TV SAS,2282,"0,03"
2020,3,JEFFERSON AFE S.A.S,653,"0,01"
2020,3,SERVIDATA ELECTRONIC SAS,128,0
2022,2,SUPER WOW COLOMBIA S.A.S.,1551,"0,02"
2021,2,VOJ NETWORK CORP S.A.S,3632,"0,05"
2020,4,COMPLEXCOM LTDA,264,0
2021,3,INTERCOM COLOMBIA LTDA,224,0
2021,2,MV COMUNICACIONES DEL VALLE S.A.S,16,0
2021,2,COMSSET COMUNICACIONES SAS,1432,"0,02"
2022,3,MULTISERVICIOS DIAMANTE S.A.S,91,0
2021,3,SERVIRED 3D SAS,272,0
2021,3,CAFETEL TV SAS,818,"0,01"
2021,1,FACIL COMUNICACIONES SAS,394,0
2021,2,SERVIRED COMUNICACIONES S.A.S,3,0
2021,3,GRUPO UNO TELECOMUNICACIONES SAS,4799,"0,05"
2022,3,TV SANV SAS,14743,"0,17"
2022,2,RTC COMUNICACIONES S.A.S,24,0
2022,3,ZUMACOMUNICACIONESDECOLOMBIASA,1984,"0,02"
2021,4,MAX TV SAS,1120,"0,01"
2021,4,SOLUCIONES ESTRAT�GICAS DE TELECOMUNICACIONES S.A.S.,913,"0,01"
2022,1,SERVICIOS INTEGRALES DE TELECOMUNICACIONES TURISMO ENERGIA Y CONSTRUCCION SERVIT,575,"0,01"
2023,2,TELECOMUNICACIONES URMED S.A.S,191,0
2020,3,SISTELME SAS,522,"0,01"
2021,4,ASOCIACION ANTENA PARABOLICA AMAGA,614,"0,01"
2022,3,FASTNET INTERNET PARA TODOS S.A.S,384,0
2021,3,AIM CONNECT SAS,82,0
2021,3,EYON RV S.A.S,126,0
2022,3,SERVICIOS Y SOLUCIONES EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION S.A.S,492,"0,01"
2022,1,DIUFF.NET TELECOMUNICACIONES SAS,776,"0,01"
2021,2,AJFIBER.NET S.A.S.,436,"0,01"
2021,2,L@TINNETWORK SAS,279,0
2021,4,FASTNET INTERNET PARA TODOS S.A.S,386,0
2022,3,NOVARED T&S SAS,11,0
2023,2,NOVANET DIGITAL S.A.S,42,0
2022,3,EMPRESA DE TELECOMUNICACIONES DE PALMIRA ETP S.A.S.,444,"0,01"
2020,3,ASOCIACION ANTENA PARABOLICA AMAGA,26,0
2022,2,IP COMUNICACIONES DEL VALLE ZOMAC S.A.S,438,"0,01"
2021,1,METRONET COLOMBIA SAS,44,0
2022,2,NET&COM LTDA.,177,0
2021,3,LIBRE TECNOLOGIA SAS,182,0
2022,2,ENSOTEL S.A.S,283,0
2022,2,ALTITUD STUDIOS S A S,695,"0,01"
2021,3,CONEXION DIGITAL EXPRESS SAS,11398,"0,13"
2021,1,WIRELESS COLOMBIA S.A.S.,2482,"0,03"
2023,2,PITEL ALTA VELOCIDAD SAS ZOMAC,94,0
2023,2,DIGITAL COAST S.A.S.,3541,"0,04"
2023,2,UIN-FI.NET SAS,285,0
2023,2,MAZCSYSTEM COMUNICACIONES SAS,112,0
2023,2,REDES Y TELECOMUNICACIONES INGENIER�A SAS,124,0
2023,2,FCF COMUNICACIONES S.A.S.,1821,"0,02"
2021,1,FIBERNET COLOMBIA S.A.S,1779,"0,02"
2022,2,REDES.COM INTERNET BANDA ANCHA S.A.S,237,0
